policy_number,a_amount_rein,a_number_rein,e_amount_rein,e_number_rein
348409731,0.0,0.0,0.0,0.0
346354459,0.0,0.0,0.0,0.0
348233750,0.0,0.0,3492.9041095890416,9.31441095890411E-4
349494708,0.0,0.0,6657.287671232878,2.9587945205479456E-4
350824108,0.0,0.0,579.4931506849316,1.5453150684931508E-4
352058721,0.0,0.0,0.0,0.0
352166334,0.0,0.0,0.0,0.0
354231318,0.0,0.0,0.0,0.0
354911919,0.0,0.0,0.0,0.0
352612345,0.0,0.0,728.6095890410959,1.942958904109589E-4
608466793,0.0,0.0,308.7534246575342,3.087534246575342E-4
608483822,0.0,0.0,0.0,0.0
610558025,0.0,0.0,0.0,0.0
608790192,0.0,0.0,0.0,0.0
113068431,0.0,0.0,2529.4931506849316,6.745315068493151E-4
113772297,0.0,0.0,1707.1027397260273,4.5522739726027394E-4
113849269,0.0,0.0,0.0,0.0
113929368,0.0,0.0,0.0,0.0
114064835,0.0,0.0,2498.7328767123286,3.331643835616438E-4
115065252,0.0,0.0,0.0,0.0
115205791,0.0,0.0,1492.8082191780823,1.9904109589041096E-4
115471872,0.0,0.0,650.4246575342465,8.672328767123288E-5
117424663,0.0,0.0,682.5616438356165,1.820164383561644E-4
349964890,0.0,0.0,4898.383561643836,6.531178082191781E-4
351209630,0.0,0.0,4167.123287671233,0.0011112328767123286
353759269,0.0,0.0,0.0,0.0
349278762,0.0,0.0,0.0,0.0
353485238,0.0,0.0,0.0,0.0
355561473,0.0,0.0,798.4417808219177,1.4194520547945204E-4
354875874,0.0,0.0,0.0,0.0
610373433,0.0,0.0,0.0,0.0
114672942,0.0,0.0,0.0,0.0
115645475,0.0,0.0,1941.4109589041095,2.588547945205479E-4
115771883,0.0,0.0,0.0,0.0
116564097,0.0,0.0,0.0,0.0
118891720,0.0,0.0,0.0,0.0
119248201,0.0,0.0,0.0,0.0
609327499,0.0,0.0,0.0,0.0
349475525,0.0,0.0,1343.4246575342468,7.164931506849316E-5
350755682,0.0,0.0,9.585616438356166,2.556164383561644E-6
352749097,0.0,0.0,0.0,0.0
354060576,0.0,0.0,9588.698630136987,0.0012784931506849317
113988091,0.0,0.0,455.32054794520536,9.10641095890411E-4
114614118,0.0,0.0,0.0,0.0
114701568,0.0,0.0,3874.8156164383563,9.115068493150684E-4
114874498,0.0,0.0,0.0,0.0
117187914,0.0,0.0,0.0,0.0
117254193,0.0,0.0,0.0,0.0
118792530,0.0,0.0,0.0,0.0
119147916,0.0,0.0,0.0,0.0
351619549,0.0,0.0,0.0,0.0
348957242,0.0,0.0,6816.410958904109,9.088547945205479E-4
353296304,0.0,0.0,6657.287671232876,4.4381917808219176E-4
350813721,0.0,0.0,2545.3356164383563,6.787561643835616E-4
351994710,0.0,0.0,0.0,0.0
348577685,0.0,0.0,3801.082191780822,6.757479452054795E-4
355132135,0.0,0.0,0.0,0.0
355243189,0.0,0.0,2388.965753424658,3.185287671232877E-4
349312579,0.0,0.0,5652.493150684932,7.536657534246576E-4
352986392,0.0,0.0,7434.246575342466,6.608219178082192E-4
353274392,0.0,0.0,1718.1369863013701,4.5816986301369867E-4
354007544,0.0,0.0,37.2945205479452,4.972602739726027E-6
610402273,0.0,0.0,0.0,0.0
111823837,0.0,0.0,0.0,0.0
111844536,0.0,0.0,2065.068493150685,2.7534246575342463E-4
114616733,0.0,0.0,0.0,0.0
114747876,0.0,0.0,3569.6712328767126,1.5865205479452055E-4
116536699,0.0,0.0,4125.2054794520545,3.666849315068493E-4
354867400,0.0,0.0,0.0,0.0
348167263,0.0,0.0,642.3287671232875,8.564383561643834E-5
350792065,0.0,0.0,10122.41095890411,8.997698630136987E-4
354675654,0.0,0.0,6962.301369863015,9.283068493150685E-4
354576944,0.0,0.0,0.0,0.0
609966528,0.0,0.0,0.0,0.0
609203963,0.0,0.0,0.0,0.0
609907472,0.0,0.0,0.0,0.0
609926704,0.0,0.0,0.0,0.0
355353749,0.0,0.0,1800.1232876712331,2.400164383561644E-4
112596994,0.0,0.0,9838.356164383562,0.0013117808219178084
115982654,0.0,0.0,0.0,0.0
117334409,0.0,0.0,0.0,0.0
348783879,0.0,0.0,11.712328767123287,3.1232876712328765E-6
350427795,0.0,0.0,0.0,0.0
350800702,0.0,0.0,1756.8493150684928,3.1232876712328764E-4
351917547,0.0,0.0,5632.705479452055,7.510273972602741E-4
351944426,0.0,0.0,0.0,0.0
