policy_number,a_amount_rein,a_number_rein,e_amount_rein,e_number_rein
335497756,0.0,0.0,4730.235616438356,6.757479452054795E-4
336560347,0.0,0.0,0.0,0.0
339571598,0.0,0.0,5489.959839954301,7.336547945205479E-4
342684461,0.0,0.0,10947.945205479453,2.280821917808219E-4
336635958,0.0,0.0,0.0,0.0
344560776,0.0,0.0,0.0,0.0
339831885,0.0,0.0,3457.3150684931506,4.3216438356164384E-4
339931487,0.0,0.0,234.39452054794518,7.813150684931507E-5
340313204,0.0,0.0,3809.841095890411,4.762301369863014E-4
603475112,0.0,0.0,0.0,0.0
338456189,0.0,0.0,5592.021917808219,6.990027397260274E-4
340853688,0.0,0.0,12720.553424657537,9.785041095890412E-4
342272051,0.0,0.0,0.0,0.0
344814306,0.0,0.0,5089.7095890410965,6.362136986301371E-4
338713712,0.0,0.0,4698.205479452054,0.0015660684931506847
338829104,0.0,0.0,0.0,0.0
346207251,0.0,0.0,3521.753424657534,4.402191780821918E-4
343597316,0.0,0.0,0.0,0.0
348881376,0.0,0.0,775.2767123287671,9.690958904109589E-5
600453930,0.0,0.0,0.0,0.0
336946322,0.0,0.0,20126.15890410959,0.002515769863013699
339429011,0.0,0.0,805.8082191780823,2.686027397260274E-4
341612554,0.0,0.0,1859.4739726027397,6.198246575342466E-4
343181392,0.0,0.0,449.0630136986302,1.4968767123287673E-4
343552493,0.0,0.0,5033.087671232877,0.0016776958904109588
344751847,0.0,0.0,31.84657534246575,3.980821917808219E-6
345624886,0.0,0.0,534.0575342465753,1.7801917808219178E-4
346696578,0.0,0.0,0.0,0.0
574170858,0.0,0.0,0.0,0.0
601974488,0.0,0.0,0.0,0.0
603066747,0.0,0.0,0.0,0.0
336671078,0.0,0.0,8103.353424657536,4.501863013698631E-4
338413321,0.0,0.0,4427.309589041097,5.53413698630137E-4
339836934,0.0,0.0,5601.649315068493,5.334904109589041E-4
340488162,0.0,0.0,968.1863013698629,3.227287671232877E-4
341924272,0.0,0.0,5250.279452054795,6.562849315068493E-4
342168952,0.0,0.0,14232.328767123288,0.0017790410958904111
342614328,0.0,0.0,44.05479452054795,5.506849315068493E-6
345216188,0.0,0.0,7742.202739726027,9.677753424657534E-4
341921070,0.0,0.0,3333.6109589041102,4.1670136986301376E-4
341992329,0.0,0.0,255.51780821917816,5.110356164383562E-4
574335493,0.0,0.0,0.0,0.0
601566292,0.0,0.0,0.0,0.0
602206708,0.0,0.0,0.0,0.0
574192613,0.0,0.0,7004.712328767123,8.755890410958904E-4
601692106,0.0,0.0,0.0,0.0
335516951,0.0,0.0,1738.695890410959,2.1733698630136986E-4
351684147,0.0,0.0,5983.649315068494,7.479561643835617E-4
336824511,0.0,0.0,573.813698630137,1.9127123287671232E-4
338704398,0.0,0.0,2766.6410958904107,3.4583013698630136E-4
340880715,0.0,0.0,17762.89315068493,9.86827397260274E-4
341194066,0.0,0.0,4742.13698630137,5.927671232876712E-4
341855864,0.0,0.0,69.04109589041096,2.3013698630136985E-5
336901889,0.0,0.0,0.0,0.0
338501943,0.0,0.0,1068.008219178082,3.560027397260274E-4
338925969,0.0,0.0,1195.3534246575343,2.1733698630136986E-4
347664880,0.0,0.0,24.09041095890411,8.030136986301369E-6
336134200,0.0,0.0,3692.712328767123,4.615890410958904E-4
603226408,0.0,0.0,0.0,0.0
337862171,0.0,0.0,1670.0547945205476,5.566849315068493E-4
340890474,0.0,0.0,3881.3013698630134,0.0012937671232876712
335611596,0.0,0.0,1173.6986301369861,2.934246575342466E-4
342644192,0.0,0.0,652.1753424657536,2.1739178082191783E-4
342991809,0.0,0.0,8540.580821917807,0.0010675726027397259
337224273,0.0,0.0,15497.424657534246,1.5813698630136986E-4
345853683,0.0,0.0,1190.1369863013697,1.487671232876712E-4
339801086,0.0,0.0,11017.336986301369,0.0013771671232876712
340270149,0.0,0.0,786.4109589041096,9.83013698630137E-5
342331873,0.0,0.0,2113.8164383561643,2.3486849315068495E-4
343443339,0.0,0.0,3477.391780821918,4.346739726027397E-4
337530224,0.0,0.0,2719.5397260273976,3.399424657534247E-4
338681315,0.0,0.0,1488.082191780822,4.960273972602741E-4
340684547,0.0,0.0,0.0,0.0
350671830,0.0,0.0,3928.8986301369864,0.0013096328767123288
350870143,0.0,0.0,0.0,0.0
345191993,0.0,0.0,3725.983561643836,4.6574794520547945E-4
348878984,0.0,0.0,0.0,0.0
349684043,0.0,0.0,9664.695745966903,0.0010190904109589041
336952791,0.0,0.0,0.0,0.0
337023683,0.0,0.0,3266.0958904109593,2.969178082191781E-4
337908230,0.0,0.0,2786.279452054795,3.4828493150684933E-4
340111087,0.0,0.0,290.46575342465746,9.682191780821917E-5
342359007,0.0,0.0,2795.030136986301,9.316767123287671E-4
342945250,0.0,0.0,501.1232876712329,3.854794520547945E-5
343027579,0.0,0.0,0.0,0.0
343812806,0.0,0.0,10789.041095890409,0.0013486301369863012
347804171,0.0,0.0,6071.301369863013,0.002023767123287671
347983892,0.0,0.0,1117.2,3.724E-4
574425641,0.0,0.0,3963.4520547945212,0.001321150684931507
601081300,0.0,0.0,0.0,0.0
603815341,0.0,0.0,0.0,0.0
335466041,0.0,0.0,4159.175342465753,0.0013863917808219176
335614467,0.0,0.0,405.9616438356164,1.3532054794520548E-4
336701859,0.0,0.0,0.0,0.0
336938998,0.0,0.0,5191.39774520548,6.43654794520548E-4
341146561,0.0,0.0,1272.4273972602741,4.2414246575342467E-4
341452365,0.0,0.0,8870.13698630137,0.0011087671232876712
342788452,0.0,0.0,2338.619178082192,7.795397260273973E-4
351369830,0.0,0.0,0.0,0.0
346225097,0.0,0.0,275.013698630137,2.6191780821917808E-5
573616307,0.0,0.0,0.0,0.0
603743394,0.0,0.0,0.0,0.0
573995438,0.0,0.0,0.0,0.0
601413032,0.0,0.0,0.0,0.0
603563636,0.0,0.0,0.0,0.0
604069252,0.0,0.0,0.0,0.0
337539209,0.0,0.0,11819.169863013698,0.003939723287671232
339252215,0.0,0.0,0.0,0.0
341241867,0.0,0.0,8264.794520547946,6.357534246575343E-4
341382695,0.0,0.0,1515.8958904109586,5.052986301369863E-4
341590495,0.0,0.0,505.2986301369862,1.6843287671232875E-4
341727188,0.0,0.0,3889.857534246575,0.0012966191780821917
335784724,0.0,0.0,21639.74794520548,0.0012022082191780823
335847695,0.0,0.0,148.82191780821918,1.8602739726027397E-5
336705785,0.0,0.0,0.0,0.0
336974613,0.0,0.0,769.8682153101199,0.0020223123287671234
342278959,0.0,0.0,0.0,0.0
340470962,0.0,0.0,9703.189041095891,0.0012128986301369864
341152791,0.0,0.0,3469.3150684931497,0.0011564383561643834
342580719,0.0,0.0,489.64109589041095,1.63213698630137E-4
342937497,0.0,0.0,0.0,0.0
343211520,0.0,0.0,4192.767123287671,0.0013975890410958904
343889879,0.0,0.0,806.8119157360923,2.3934246575342465E-4
344203898,0.0,0.0,1509.041095890411,1.8863013698630139E-4
343441838,0.0,0.0,68.51506849315066,1.712876712328767E-5
350093258,0.0,0.0,8878.334246575341,0.0011097917808219177
336316500,0.0,0.0,0.0,0.0
337294169,0.0,0.0,2858.8767123287676,9.52958904109589E-4
337517833,0.0,0.0,2078.290410958904,2.59786301369863E-4
336493978,0.0,0.0,0.0,0.0
336541180,0.0,0.0,3369.205479452055,0.001123068493150685
336611504,0.0,0.0,18057.534246575346,0.001389041095890411
338108418,0.0,0.0,11.942465753424656,3.980821917808219E-6
338178601,0.0,0.0,2918.8627397260275,3.603534246575343E-4
340918366,0.0,0.0,7046.136986301371,8.807671232876713E-4
336178835,0.0,0.0,158.5972602739726,5.286575342465753E-5
337789366,0.0,0.0,2701.117808219179,9.003726027397262E-4
338180110,0.0,0.0,0.0,0.0
346050909,0.0,0.0,33251.769863013695,0.004156471232876712
346469265,0.0,0.0,0.0,0.0
338362932,0.0,0.0,2039.1287671232874,6.797095890410959E-4
